analysis_split,device_id,curve_type,points,base_mean_abs_log_error,residual_mean_abs_log_error,mean_log_error_reduction,median_log_error_reduction,improvement_rate,mean_signed_residual,mean_abs_residual,p90_abs_residual,mean_log_error_reduction_pct
fit,80_10,idvd,404,0.06800312470466018,0.013767273485300132,0.05423585121936005,0.03883259633549718,0.8712871287128713,0.0009719874835824177,0.0669533699408647,0.10232419472241003,79.75493987211345
fit,80_10,idvg,505,0.1491427936739316,0.1009542299540794,0.04818856371985218,0.04631533515723607,0.7623762376237624,-0.0023915400282582266,0.0854873935981706,0.18049182468357788,32.31035340883183
fit,80_20,idvd,404,0.0765106591191937,0.029610908675610788,0.04689975044358292,0.04538229357772883,0.7920792079207921,0.012297238236787853,0.06543431644538082,0.11355866907726027,61.29832232985887
fit,80_20,idvg,404,0.09221701858791519,0.039521688862848445,0.05269532972506675,0.03506483278954331,0.806930693069307,-0.011490421248369614,0.08014988201769861,0.1864227703077126,57.14273843588817
fit,80_40,idvd,404,0.06710036936465069,0.011078588931367745,0.05602178043328296,0.048312395213135684,0.9108910891089109,-0.011141809884711956,0.06703945480338117,0.1286369812270756,83.48952615869791
fit,80_40,idvg,404,0.05605674387188677,0.011453529914553558,0.04460321395733321,0.03134843608321081,0.9034653465346535,0.012048440653195373,0.0536662365174656,0.11640207336946361,79.56797144563072
holdout,80_10,idvd,1212,0.15074254316103955,0.15987314822031337,-0.009130605059273815,0.033686489018072585,0.6988448844884488,0.042061925999904354,0.13218526563724245,0.3818676035735599,-6.0570857223229355
holdout,80_10,idvg,1515,0.30148108375199234,0.31108474663079516,-0.009603662878802844,0.028917848236639898,0.6396039603960396,0.08570592178656744,0.1727787638381876,0.5304365163014422,-3.185494346538542
holdout,80_20,idvd,1212,0.1723793721871317,0.09092926831338195,0.08145010387374974,0.07620413647640722,0.8745874587458746,0.06643618141815347,0.10177909819371314,0.23057501225066077,47.25049339739391
holdout,80_20,idvg,1212,0.16244508085122356,0.1080952811557123,0.05434979969551124,0.05162334033171101,0.7863036303630363,0.04083394053653959,0.1259259597451677,0.2652884422278574,33.457337957366576
holdout,80_40,idvd,1212,0.14009461312536634,0.11088971637045827,0.029204896754908057,0.0453345424162781,0.8275577557755776,-0.016925285942473233,0.10307070667825592,0.22198421015884773,20.84655227162339
holdout,80_40,idvg,1212,0.14740385234639902,0.14654691916308055,0.0008569331833184914,0.032312946832377065,0.7747524752475248,-0.005709823150995832,0.09949692581435032,0.2899134867350142,0.5813506022248988
